a	(prep) to	(N/A) to	
azoic	(adj) azoic	
Azores	(nprpl) Azores	
azur	(adj) azure	(N/A) or blau de cobalt cobalt blue	
azurato	(n) azure	
azuro	(n) azure	
azyme	(adj) azymous	
azymos	(N/A) Feast of Unleavened Bread	
Babel	(npr) Babel	
turre de Babel	(N/A) Tower of Babel	
ba bordo	(n) port	
baby	(n) baby	
Babylon	(npr) Babylon	
babylonia	(npr) Babylonia	
babylonian	(adj) Babylonian	
baca	(n) berry	
baca de junipero	(N/A) juniper berry	
baccalaureato	(n) baccalaureate	
baccalaureo	(n) bachelor	
bacchanal	(adj) bacchanal	(n) bacchanal	
bacchanales	(N/A) Bacchanalia	
bacchanalia	(npl) Bacchanalia	
bacchante	(n) bacchante	
bacchar	(v) celebrate the Bacchanalia	
bacchic	(adj) Bacchic	
Baccho	(npr) Bacchus	
bacillari	(adj) bacillary	
bacillo	(n) bacillus	
bacterial	(adj) bacterial	
bacterio	(n) bacterium	
bacteriologia	(n) bacteriology	
bacteriologic	(adj) bacteriological	
bacterio logo	(n) bacteriologist	
bacterio therapia	(n) bacteriotherapy	
bagage	(n) baggage	
bagatella	(n) bagatelle	
baia	(n) bay	
Balaam	(npr) Balaam	
balalaika	(n) balalaika	
balamento	(n) bleat	
balancia	(n) balance	
balancia roman	(N/A) steelyard	
balancia de commercio	(N/A) balance of trade	
esser in balancia	(N/A) be undecided	
balanciamento	(n) balancing	
balanciar	(v) balance	
balanciar se	(N/A) swing	
balanciatoria	(n) seesaw	
balanciero	(n) balance	
balancio	(n) balance	
facer un balancio	(N/A) draw up a balance sheet	
balancista	(n) scale tester	
balar	(v) bleat	
balbutiamento	(n) stammer	
balbutiar	(v) stammer	
balbutiator	(n) stammerer	
balcon	(n) balcony	
balena	(n) whale	
balenero	(n) whaler	
baleniera	(n) whaleboat	
Balkanes	(nprpl) Balkans	
balkanic	(adj) Balkanic	
Peninsula Balkanic	(N/A) Balkanic Peninsula	
balkanisar	(v) Balkanize	
balla	(n) ball	
ballada	(n) ballad	
ballar	(v) dance	
ballast	(n) ballast	
ballerina	(n) ballet dancer	
ballet	(n) ballet	
ballista	(n) ballista	
ballistic	(adj) ballistic	
ballistica	(n) ballistics	
ballo	(n) ball	
ballon	(n) balloon	
ballotta	(n) ballot	
ballottada	(n) ballotade	
ballottar	(v) ballot	
balnear	(adj) bath	
station balnear	(N/A) seaside resort	
balneo	(n) bath	
balneos	(N/A) baths	
balneo therapia	(n) balneotherapy	
balsamic	(adj) balsamic	
balsamifere	(adj) balsamiferous	
balsamina	(n) balsamine	
balsaminaceas	(npl) Balsaminaceae	
balsaminacee	(adj) balsaminaceous	
balsamita	(n) tansy	
balsamo	(n) balm	
Balthasar	(npr) Belshazzar	
baltic	(adj) Baltic	
Statos Baltic	(N/A) Baltic States	
Baltico	(npr) Baltic	
balto	(n) Balt	
balto-slavic	(adj) Balto-Slavic	
balto-slavo	(n) Balto-Slav	
balustrada	(n) balustrade	
balustrar	(v) balustrade	
balustro	(n) baluster	
bambu	(n) bamboo	
banal	(adj) banal	
banalitate	(n) banality	
banana	(n) banana	
banca	(n) bank	
billet de banca	(N/A) bank note	
bancabile	(adj) bankable	
bancar	(v) bank	
bancari	(adj) bank	(N/A) bank	(N/A) banking	
banca rupta	(n) bankruptcy	
facer bancarupta	(N/A) go bankrupt	
bancaruptero	(n) bankrupt	
banch-	(n) bench	
banchero	(n) banker	
banchettar	(v) feast	
banchettator	(n) banqueter	
banchetto	(n) banquet	
banco	(n) bench	
banda	(n) band	(n) band	
bandage	(n) bandage	
bandar	(v) bandage	
bandar le oculos a un persona	(N/A) blindfold a person	
bandiera	(n) banner	
bandierola	(n) banderole	
banditismo	(n) banditry	
bandito	(n) bandit	
baniar	(v) bathe	
baniar se	(N/A) take a bath	
baniator	(n) bather	
banio	(n) bath	
banios	(N/A) baths	
camera de banio	(N/A) bathroom	
banio-maria	(n) water bath	
banjo	(n) banjo	
bannimento	(n) banishment	
bannir	(v) banish	
banno	(n) proclamation	
baptisar	(v) baptize	
baptisator	(n) baptizer	
baptismal	(adj) baptismal	
baptismo	(n) baptism	
nomine de baptismo	(N/A) baptismal or Christian name	
baptista	(n) baptizer	(adj) Baptist	
Sancte Johannes Baptista	(N/A) Saint John the Baptist	
baptisterio	(n) baptistery	
bar	(n) bar	
barba	(n) beard	
facer le barba	(N/A) shave	
Barba Blau	(N/A) Bluebeard	
barbar	(v) grow a beard	
barbare	(adj) barbarous	
barbaric	(adj) barbaric	
barbarisar	(v) barbarize	
barbarismo	(n) barbarism	
barbaritate	(n) barbarity	
barbaro	(n) barbarian	
barbate	(adj) bearded	
barberia	(n) barbershop	
barbero	(n) barber	
barca	(n) boat	
barcarola	(n) barcarole	
barcata	(n) boatload	
barch-	(n) boat	
barchero	(n) boatman	
bardana	(n) burdock	
barium	(n) barium	
baro-	(n) baro-	
baroc	(adj) baroque	
baroco	(n) baroque	
baro gramma	(n) barogram	
baro grapho	(n) barograph	
baro logia	(n) barology	
barometric	(adj) barometric	
baro metro	(n) barometer	
barometrographia	(n) barometrography	
barometro grapho	(n) barometrograph	
baron	(n) baron	
baronage	(n) baronage	
baronessa	(n) baroness	
baronetto	(n) baronet	
baronia	(n) barony	
baro thermo hygrographo	(n) barothermohygrograph	
barra	(n) bar	
barraca	(n) hut	
barracon	(n) barracoon	
barrage	(n) barrier	
barrar	(v) bar	
barrica	(n) barrico	
barricada	(n) barricade	
barricadar	(v) barricade	
barriera	(n) barrier	
barril	(n) barrel	
barrilero	(n) cooper	
bary-	(adj) bary-	
baryta	(n) baryta	
bary tone	(adj) baritone	
barytono	(n) baritone	
basal	(adj) basal	
basaltic	(adj) basaltic	
basalto	(n) basalt	
basamento	(n) basement	
basar	(v) base	
basar se super	(N/A) be based on	
bascula	(n) bascule	
bascular	(v) move or be moving leverwise	
basculari	(adj) bascule	
basculation	(n) basculation	
base	(n) base	
baseball	(n) baseball	
Basel	(npr) Basel	
basiar	(v) kiss	
basic	(adj) basic	
basicitate	(n) basicity	
basilica	(n) basilica	
basio	(n) kiss	
basio de Juda	(N/A) Judas kiss	
bassar	(v) lower	
basse	(adj) low	
in voce basse	(N/A) in a low voice	
marea basse	(N/A) low tide	
basse-relievo	(n) bas-relief	
bassessa	(n) baseness	
bassinetto	(n) small basin	
bassino	(n) basin	
basso	(n) bottom	(adv) low	
a basso	(N/A) down	(N/A) down with	
in basso	(N/A) down	
basson	(n) bassoon	
basta	(interj) enough stop	
bastante	(N/A) bastar	
bastantia	(n) sufficiency	
bastar	(v) be enough	
bastarde	(adj) bastard	
bastardia	(n) bastardy	
bastardo	(n) bastard	
bastille	(n) bastille	
Bastille	(N/A) Bastille	
bastion	(n) bastion	
basto	(n) packsaddle	
baston	(n) stick	
baston de marechal	(N/A) field marshal's baton	
bastonada	(n) bastinado	
bastonar	(v) cudgel	
batata	(n) sweet potato	
batik	(n) batik	
batikar	(v) batik	
batista	(n) batiste	
batracho myo machia	(n) Batrachomyomachy	
battalia	(n) battle	
in battalia	(N/A) in battle array	
campo de battalia	(N/A) battlefield	
battaliar	(v) battle	
battaliator	(n) battler	
battalion	(n) battalion	
batter	(v) beat	(N/A) hammer	
batter se	(N/A) fight	
batter moneta	(N/A) coin	
batteria	(n) battery	(N/A) battery	
battimento	(n) beating	
bavare	(adj) Bavarian	
bavarese	(adj) Bavarian	
Bavaria	(npr) Bavaria	
bavaro	(n) Bavarian	
Bayona	(npr) Bayonne	
bayonetta	(n) bayonet	
Bayonne	(npr) Bayonne	
bazar	(n) bazaar	
beate	(adj) blissful	
beatific	(adj) beatific	
beatificar	(v) beatify	
beatification	(n) beatification	
beatitude	(n) beatitude	
becca fico	(n) beccafico	
beccar	(v) peck	
beccata	(n) beakful	
becco	(n) beak	(N/A) burner	
beduin	(n) Bedouin	
beefsteak	(n) beefsteak	
bel-	(adj) beautiful	
belga	(n) Belgian	
belge	(adj) Belgian	
Belgica	(npr) Belgium	
belladonna	(n) deadly nightshade	
bellar	(v) war	
belle	(adj) beautiful	
belles-lettres	(npl) belles-lettres	
belletr-	(npl) belles-lettres	
belletrista	(n) belletrist	
belletristic	(adj) belletristic	
bellic	(adj) war	
bellicose	(adj) bellicose	
bellicositate	(n) bellicosity	
belli gerente	(adj) belligerent	(n) belligerent	
belligerentia	(n) belligerency	
bello	(n) war	
beltate	(n) beauty	
bemolle	(n) flat	
ben	(adv) well	(n) good	
ben que	(N/A) although	
ir ben	(N/A) go well	
sentir se ben	(N/A) feel well	
ben public	(N/A) public good	
benes mobile	(N/A) personal property	
benes immobile	(N/A) real estate	
bene dicer	(v) bless	
benedict-	(see) benedicer	
benedicte	(adj) blessed	
aqua benedicte	(N/A) holy water	
benedictin	(adj) Benedictine	
benedictino	(n) Benedictine	
benediction	(n) benediction	
Benedicto	(nprm) Benedict	
bene facer	(v) do good	
benefact-	(see) benefacer	
benefactor	(n) benefactor	
benefic	(adj) beneficial	
beneficente	(adj) beneficent	
beneficentia	(n) beneficence	
beneficiar	(v) benefit	
beneficiar de	(N/A) benefit by or from	
beneficiario	(n) beneficiary	
beneficio	(n) benefit	
ben-esser	(n) well-being	
bene vole	(adj) benevolent	
bene volente	(adj) benevolent	
benevolentia	(n) benevolence	
benigne	(adj) benign	
benignitate	(n) benignity	
ben venite	(adj) welcome	
benz-	(n) benzoin	
benzina	(n) benzine	
benzoato	(n) benzoate	
benzoe	(n) benzoin	
benzoic	(adj) benzoic	
benzoin	(n) benzoin	
benzol	(n) benzol	
Beotia	(n) Boeotia	
beotie	(adj) Boeotian	
beotio	(n) Boeotian	
bequadro	(n) natural	
berillos	(npl) glasses	
Berlin	(npr) Berlin	
berlina	(n) berlin	
berlinese	(adj) Berlin	(n) Berliner	
Bern	(npr) Bern	
bernese	(adj) Bernese	
beryllium	(n) beryllium	
beryllo	(n) beryl	
bestia	(n) beast	
bestial	(adj) bestial	(n) cattle	
bestialitate	(n) bestiality	
beta	(n) beet	(n) beta	
beta foliose	(N/A) leaf beet	
beta salvage	(N/A) wild beet	
beta de forrage	(N/A) mangel-wurzel	
beta de sucro	(N/A) sugar beet	
radio beta	(N/A) beta ray	
particula beta	(N/A) beta particle	
beta rapa	(n) beet	
betel	(n) betel	
beton	(n) concrete	
beton armate	(N/A) iron concrete	
betonar	(v) construct with concrete	
betula	(n) birch	
bi-	(adj) bi-	
bi basic	(adj) dibasic	
biber	(v) drink	(n) drink	
biberage	(n) beverage	
biberon	(n) baby-bottle	
bibibile	(adj) drinkable	
bibita	(n) drink	
bibitor	(n) drinker	
bibitura	(n) beverage	
Biblia	(n) Bible	
biblic	(adj) biblical	
societate biblic	(N/A) Bible Socicty	
biblio-	(n) biblio-	
bibliographia	(n) bibliography	
bibliographic	(adj) bibliographic	
biblio grapho	(n) bibliographer	
biblio latra	(n) bibliolater	
bibliolatria	(n) bibliolatry	
biblio mane	(adj) bibliomaniac	
biblio mania	(n) bibliomania	
bibliomano	(n) bibliomaniac	
biblio mantia	(n) bibliomancy	
biblio phile	(adj) bibliophile	
bibliophilo	(n) bibliophile	
biblio theca	(n) library	
bibliothecario	(n) librarian	
biblista	(n) Biblist	
bibule	(adj) bibulous	
bi carbonato	(n) bicarbonate	
bi carburo	(n) bicarburet	
bicario	(n) tumbler	
bi centenari	(adj) bicentenary	
bi centenario	(n) bicentenary	
bi chromato	(n) bichromate	
bicipital	(adj) bicipital	
bi cipite	(adj) bicipital	(n) biceps	
bi color	(adj) bicolored	
bi corne	(adj) bicorn	
bi cornute	(adj) bicorn	
bi cuspide	(adj) bicuspid	
bicyclar	(v) cycle	
bicycletta	(n) bicycle	
bi cyclic	(adj) bicyclic	
bicyclic	(adj) bicyclic	
bicyclista	(n) cyclist	
bi cyclo	(n) bicycle	
bi dente	(n) bident	
bi dimensional	(adj) bidimentional	
biella	(n) connecting rod	
bi ennal	(adj) biennial	
bi fide	(adj) bifid	
bi focal	(adj) bifocal	
bi forme	(adj) biform	
bi furcar	(v) bifurcate	
bifurcation	(n) bifurcation	
bi game	(adj) bigamous	
bigamia	(n) bigamy	
bigamo	(n) bigamist	
bigot	(n) bigot	
bigoteria	(n) bigotry	
bi labial	(adj) bilabial	
bi lateral	(adj) bilateral	
bile	(n) bile	
bili-	(n) bile	
biliardo	(n) billiards	
bala de biliardo	(N/A) billiard ball	
jocar al biliardo	(N/A) play billiards	
biliari	(adj) biliary	
calculo biliari	(N/A) gallstone	
bi lingue	(adj) bilingual	
bilinguismo	(n) bilingualism	
biliose	(adj) bilious	
biliositate	(n) biliousness	
bili verdina	(n) biliverdin	
bill	(n) bill	
billet	(n) note	(N/A) note	
billet a ordine	(N/A) promissory note made out to order	
billetar	(v) billet	
billeteria	(n) ticket-window	
billetero	(n) ticket seller	
billion	(n) billion	
billionesime	(adj) billionth	
le billionesime parte le billionesimo	(N/A) the billionth part	
bi lobate	(adj) bilobate	
bi mane	(adj) bimanous	
bimestral	(adj) bimonthly	
bi mestre	(n) period of two months	
bi metallismo	(n) bimetallism	
bi metallista	(n) bimetallist	
bin	(adj) two by two	
binari	(adj) binary	
bin oculo	(n) binoculars	
bi nomie	(adj) binomial	
binomio	(n) binomial	
bio-	(n) bio-	
bio chimia	(n) biochemistry	
biochimic	(adj) biochemical	
biochimista	(n) biochemist	
bio genese	(n) biogenesis	
bio genesis	(n) biogenesis	
bio genetic	(adj) biogenetic	
biographia	(n) biography	
biographic	(adj) biographic	
bio grapho	(n) biographer	
biologia	(n) biology	
biologic	(adj) biological	
biologista	(n) biologist	
bio logo	(n) biologist	
bi oxydo	(n) dioxide	
bipartibile	(adj) bipartible	
bi partir	(v) divide into two parts	
bipartite	(adj) bipartite	
bipartition	(n) bipartition	
bi pede	(adj) biped	(n) biped	
bi penne	(n) battle-axe	
bi plano	(n) biplane	
bi polar	(adj) bipolar	
bira	(n) beer	
bira clar	(N/A) light beer	
bira obscur	(N/A) dark beer	
bi reme	(adj) bireme	(n) bireme	
bireria	(n) saloon	
birero	(n) brewer	
bis	(N/A) adv twice	
bis ava	(n) great-grandmother	
bis avo	(n) great-grandfather	
biscuit	(n) biscuit	
biscuiteria	(n) biscuit bakery	
biscuitero	(n) biscuit baker	
bi sexual	(adj) bisexual	
bismuth	(n) bismuth	
bison	(n) bison	
bisonte	(n) bison	
bis torta	(n) bistort	
bi syllabe	(adj) dissyllabic	
bisyllabo	(n) dissyllable	
bituminage	(n) bituminization	
bituminar	(v) bituminize	
bitumine	(n) bitumen	
bituminisar	(v) bituminize	
bituminisation	(n) bituminization	
bituminose	(adj) bituminous	
carbon bituminose	(N/A) bituminous coal	
bivac	(n) bivouac	
bivacar	(v) bivouac	
bi valve	(adj) bivalve	
bivalvo	(n) bivalve	
bizarre	(adj) odd	
bizarria	(N/A) strangeness	
bi zonal	(adj) bizonal	
blanc	(adj) white	
papiro blanc	(N/A) blank paper	
carta blanc	(N/A) carte blanche	
verso blanc	(N/A) blank verse	
blanch-	(adj) white	
blanchimento	(n) whitening	
blanchir	(v) whiten	
blanco	(n) white	
blanco del oculos	(N/A) white of the eyes	
blanco de ovo	(N/A) white of an egg	
in blanco	(N/A) blank	
blande	(adj) soft	
blandimento	(n) flattery	
blandir	(v) flatter	
blanditor	(n) flatterer	
blasmabile	(adj) blameworthy	
blasmar	(v) blame	
blasmo	(n) blame	
blason	(n) coat of arms	
blasphemar	(v) blaspheme	
blasphemator	(n) blasphemer	
blaspheme	(adj) blasphemous	
blasphemia	(n) blasphemy	
blasto-	(n) blasto-	
blasto derma	(n) blastoderm	
blatta	(n) cockroach	
blau	(adj) blue	
blesamento	(n) stammering	
blesar	(v) stammer	
blese	(adj) stammering	
esser blese	(N/A) stammer	
blesitate	(n) stammering	
blocada	(n) blockade	
blocar	(v) block	
blockhaus	(n) blockhouse	
bloco	(n) block	
in bloco	(N/A) in block	
bloco erratic	(N/A) erratic block or boulder	
blonda	(N/A) nf blonde	
blonde	(adj) blond	
blondessa	(n) blondness	
bluff	(n) bluff	
bluffar	(v) bluff	
bluffator	(n) bluffer	
blusa	(n) blouse	
boa	(n) boa	
boa constrictor	(N/A) boa constrictor	
bobina	(n) bobbin	
bobina de induction	(N/A) induction coil	
bobinage	(n) winding	
bobinar	(v) wind	
bobinatorio	(n) winding frame	
bobsleigh	(n) bobsled	
boheme	(adj) Bohemian	
Bohemia	(npr) Bohemia	
bohemic	(adj) Bohemian	
bohemo	(n) Bohemian	
boia	(n) buoy	
boiada	(n) buoyage	
boiage	(n) buoyage	
boiante	(adj) buoyant	
boiar	(v) buoy	
bolchev-	(n) bolshevik	
bolchevico	(n) bolshevik	
bolchevisar	(v) bolshevize	
bolchevisation	(n) bolshevization	
bolchevismo	(n) bolshevism	
bolchevista	(n) bolshevist	
boliv-	(see) Bolivar	
Bolivia	(npr) Bolivia	
bolivian	(adj) Bolivian	
boliviano	(n) Bolivian	
bolla	(n) ball	
joco de bollas	(N/A) game of bowls	
jocar al bollas	(N/A) play bowls	
bollar	(v) bowl	
bolletta	(n) pellet	
bomba	(n) bomb	
bomba atomic	(N/A) atomic bomb	
bombar	(v) bomb	
bombarda	(n) bombard	
bombardamento	(n) bombardment	
bombardar	(v) bombard	
bombardator	(n) bombarder	
bombardero	(n) bombardier	
bombardon	(n) bombardon	
bombator	(n) bomber	
bombides	(npl) Bombidae	
bombo	(n) booming	
bon	(adj) good	(N/A) good fine all right	
bona fide	(N/A) bona fide	
bonbon	(n) candy	
bonboniera	(n) candy box	
bonetteria	(n) cap seller's	
bonettero	(n) capmaker	
bonetto	(n) cap	
bonhomia	(n) good-heartedness	
bonhomo	(n) good-natured man	
bonificar	(v) ameliorate	
bonification	(n) amelioration	
bonitate	(n) goodness	
haber le bonitate de	(N/A) have the kindness	
bonnette	(n) bonnet	
bono	(n) good	
bonus	(n) bonus	
book-maker	(n) book-maker	
boomerang	(n) boomerang	
Booz	(nprm) Boaz	
bor-	(n) borax	
borace	(n) borax	
borato	(n) borate	
borax	(n) borax	
bordada	(n) broadside	
bordar	(v) border	
bordatura	(n) border	
bordello	(n) brothel	
bordo	(n) board	
a bordo	(N/A) on board	
a bordo de	(N/A) on board	
boric	(adj) boracic	
acido boric	(N/A) boric acid	
boro	(n) boron	
borra	(n) padding	
borrar	(v) stuff	
borusse	(adj) Prussian	
Borussia	(n) Borussia	
borusso	(n) Prussian	
boscage	(n) thicket	
bosch-	(n) wood	
boschetto	(n) grove	
bosco	(n) wood	
Bosporo	(npr) Bosporus	
botanic	(adj) botanical	
jardin botanic	(N/A) botanical garden	
botanica	(n) botany	
botanisar	(v) botanize	
botanista	(n) botanist	
botano logia	(n) botany	
boteca	(n) shop	
botech-	(n) shop	
botechero	(n) shopkeeper	
botta	(n) boot	
botte	(n) barrel	
bottilia	(n) bottle	
bottina	(n) half boot	
bottinero	(n) shoemaker	
bouillon	(n) bouillon	
bouquet	(n) bouquet	
bove	(n) ox	
oculo de bove	(N/A) bull's eye	
bovello	(n) steer	
boveria	(n) cowshed	
bovero	(n) cowherd	
bovin	(adj) bovine	
boxa	(n) boxing	
boxar	(v) box	
boxator	(n) boxer	
boycott	(n) boycott	
boycottage	(n) boycott	
boycottar	(v) boycott	
boy scout	(n) boy scout	
bracas	(npl) breeches	
brachial	(adj) brachial	
brachio	(n) arm	
brachio pode	(adj) brachiopod	
brachiopodo	(n) brachiopod	
brachy cephale	(adj) brachycephalic	
bracial	(adj) arm	(n) brassard	
bracialetto	(n) bracelet	
braciar	(v) brace	
braciata	(n) armful	
bracio	(n) arm	
bracio de mar	(N/A) arm of the sea	
bracio de un chaise balancia etc	(N/A) arm of a chair	
Brahma	(npr) Brahma	
brahman	(n) Brahman	
brahmanic	(adj) Brahmanic	
brahmanismo	(n) Brahmanism	
brahmin	(n) Brahmin	
branca	(n) branch	
branchia	(n) gill	
branchial	(adj) branchial	
branchiate	(adj) branchiate	
branchio podo	(n) branchiopod	
brandimento	(n) brandishing	
brandir	(v) brandish	
brandy	(n) brandy	
brasa	(n) live coals	
brasar	(v) braise	
brasiero	(n) brazier	
brasil	(n) brazilwood	
Brasil	(npr) Brazil	
nuce de Brasil	(N/A) Brazil nut	
brasiletto	(n) brasiletto	
brasilian	(adj) Brasilian	
brasiliano	(n) Brazilian	
brasilina	(n) brazilin	
bravada	(n) bravado	
bravar	(v) brave	
brave	(adj) brave	
braveria	(n) bravery	
bravo	(n) bravo	(N/A) interj bravo	
barvura	(n) bravery	
aria de bravura	(N/A) bravura	
brecha	(n) breach	
facer un brecha	(N/A) in to breach	
breve	(adj) brief	(n) brief	
brevetar	(v) grant letters patent to	
breveto	(n) patent	
breviario	(n) breviary	
brevitate	(n) brevity	
bric- -brac	(n) bric-a-brac	
bricca	(n) brick	
brida	(n) bridle	
bridar	(v) bridle	
bridge	(n) bridge	
brigada	(n) brigade	
brigadero	(n) brigadier	
brigantage	(n) brigandage	
brigante	(n) bandit	
brigantesc	(adj) brigandish	
brillantar	(v) give brilliance to	
brillante	(N/A) brillar	(n) brilliant	
brillantia	(n) brilliance	
brillantina	(n) brilliantine	
brillar	(v) shine	
brio	(n) brio	
con brio	(N/A) con brio	
briquette	(n) briquette	
brisa	(n) breeze	
bristol	(n) Bristol board	
Britannia	(npr) Britain	
britannic	(adj) British	
britanno	(n) Briton	
britone	(n) Briton	
broca	(n) broach	
brocar	(v) brocade	
brocatello	(n) brocatel	
brocato	(n) brocade	
broccoli	(n) broccoli	
